# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.
DateTime,Device ID,Name,Avg Wattage,kWh
2024-09-30 17:00:00,f1667c72,Water heater,355.465,0.355
2024-09-30 18:00:00,f1667c72,Water heater,752.869,0.753
2024-09-30 19:00:00,f1667c72,Water heater,819.889,0.820
2024-09-30 21:00:00,f1667c72,Water heater,573.662,0.574
2024-10-01 00:00:00,f1667c72,Water heater,312.969,0.313
2024-10-01 06:00:00,f1667c72,Water heater,329.100,0.329
2024-10-01 07:00:00,f1667c72,Water heater,522.273,0.522
2024-10-01 09:00:00,f1667c72,Water heater,1396.566,1.397
2024-10-01 10:00:00,f1667c72,Water heater,390.508,0.391
2024-10-01 11:00:00,f1667c72,Water heater,365.318,0.365
2024-10-01 12:00:00,f1667c72,Water heater,691.243,0.691
2024-10-01 13:00:00,f1667c72,Water heater,339.875,0.340
2024-10-01 14:00:00,f1667c72,Water heater,360.854,0.361
2024-10-01 15:00:00,f1667c72,Water heater,291.342,0.291
2024-10-01 16:00:00,f1667c72,Water heater,800.853,0.801
2024-10-01 17:00:00,f1667c72,Water heater,1362.040,1.362
2024-10-01 18:00:00,f1667c72,Water heater,10.294,0.010
2024-10-01 19:00:00,f1667c72,Water heater,367.506,0.368
2024-10-01 20:00:00,f1667c72,Water heater,747.797,0.748
2024-10-01 21:00:00,f1667c72,Water heater,563.586,0.564
2024-10-02 00:00:00,f1667c72,Water heater,340.680,0.341
2024-10-02 05:00:00,f1667c72,Water heater,303.889,0.304
2024-10-02 07:00:00,f1667c72,Water heater,66.603,0.067
2024-10-02 08:00:00,f1667c72,Water heater,654.300,0.654
2024-10-02 09:00:00,f1667c72,Water heater,1310.428,1.310
2024-10-02 11:00:00,f1667c72,Water heater,77.388,0.077
2024-10-02 12:00:00,f1667c72,Water heater,289.208,0.289
2024-10-02 13:00:00,f1667c72,Water heater,17.462,0.017
2024-10-02 14:00:00,f1667c72,Water heater,1006.290,1.006
2024-10-02 15:00:00,f1667c72,Water heater,390.277,0.390
2024-10-02 17:00:00,f1667c72,Water heater,321.159,0.321
2024-10-02 18:00:00,f1667c72,Water heater,349.307,0.349
2024-10-02 19:00:00,f1667c72,Water heater,327.033,0.327
2024-10-02 20:00:00,f1667c72,Water heater,489.555,0.490
2024-10-02 21:00:00,f1667c72,Water heater,319.361,0.319
2024-10-03 00:00:00,f1667c72,Water heater,291.581,0.292
2024-10-03 07:00:00,f1667c72,Water heater,608.302,0.608
2024-10-03 09:00:00,f1667c72,Water heater,782.423,0.782
2024-10-03 10:00:00,f1667c72,Water heater,838.272,0.838
2024-10-03 11:00:00,f1667c72,Water heater,331.439,0.331
2024-10-03 12:00:00,f1667c72,Water heater,394.441,0.394
2024-10-03 13:00:00,f1667c72,Water heater,814.897,0.815
2024-10-03 15:00:00,f1667c72,Water heater,306.284,0.306
2024-10-03 16:00:00,f1667c72,Water heater,779.737,0.780
2024-10-03 19:00:00,f1667c72,Water heater,709.738,0.710
2024-10-03 20:00:00,f1667c72,Water heater,334.902,0.335
2024-10-03 21:00:00,f1667c72,Water heater,837.181,0.837
2024-10-03 23:00:00,f1667c72,Water heater,329.717,0.330
2024-10-04 05:00:00,f1667c72,Water heater,335.305,0.335
2024-10-04 09:00:00,f1667c72,Water heater,1110.635,1.111
2024-10-04 10:00:00,f1667c72,Water heater,734.341,0.734
2024-10-04 11:00:00,f1667c72,Water heater,369.880,0.370
2024-10-04 12:00:00,f1667c72,Water heater,396.844,0.397
2024-10-04 13:00:00,f1667c72,Water heater,287.253,0.287
2024-10-04 14:00:00,f1667c72,Water heater,331.454,0.331
2024-10-04 15:00:00,f1667c72,Water heater,325.863,0.326
2024-10-04 17:00:00,f1667c72,Water heater,2434.187,2.434
2024-10-04 18:00:00,f1667c72,Water heater,992.883,0.993
2024-10-04 19:00:00,f1667c72,Water heater,434.068,0.434
2024-10-04 20:00:00,f1667c72,Water heater,854.614,0.855
2024-10-04 23:00:00,f1667c72,Water heater,313.815,0.314
2024-10-05 05:00:00,f1667c72,Water heater,321.558,0.322
2024-10-05 08:00:00,f1667c72,Water heater,332.102,0.332
2024-10-05 10:00:00,f1667c72,Water heater,332.975,0.333
2024-10-05 11:00:00,f1667c72,Water heater,343.467,0.343
2024-10-05 13:00:00,f1667c72,Water heater,311.333,0.311
2024-10-05 16:00:00,f1667c72,Water heater,301.695,0.302
2024-10-05 18:00:00,f1667c72,Water heater,725.420,0.725
2024-10-05 19:00:00,f1667c72,Water heater,1642.536,1.643
2024-10-05 20:00:00,f1667c72,Water heater,414.444,0.414
2024-10-05 22:00:00,f1667c72,Water heater,1207.284,1.207
2024-10-06 00:00:00,f1667c72,Water heater,387.028,0.387
2024-10-06 04:00:00,f1667c72,Water heater,180.827,0.181
2024-10-06 05:00:00,f1667c72,Water heater,162.831,0.163
2024-10-06 08:00:00,f1667c72,Water heater,350.320,0.350
2024-10-06 09:00:00,f1667c72,Water heater,690.883,0.691
2024-10-06 10:00:00,f1667c72,Water heater,618.233,0.618
2024-10-06 11:00:00,f1667c72,Water heater,565.264,0.565
2024-10-06 12:00:00,f1667c72,Water heater,315.530,0.316
2024-10-06 13:00:00,f1667c72,Water heater,364.745,0.365
2024-10-06 14:00:00,f1667c72,Water heater,582.721,0.583
2024-10-06 15:00:00,f1667c72,Water heater,446.581,0.447
2024-10-06 16:00:00,f1667c72,Water heater,327.762,0.328
2024-10-06 17:00:00,f1667c72,Water heater,701.179,0.701
2024-10-06 18:00:00,f1667c72,Water heater,373.887,0.374
2024-10-06 19:00:00,f1667c72,Water heater,700.791,0.701
2024-10-06 20:00:00,f1667c72,Water heater,793.115,0.793
2024-10-06 21:00:00,f1667c72,Water heater,777.267,0.777
2024-10-06 23:00:00,f1667c72,Water heater,320.906,0.321
2024-10-07 05:00:00,f1667c72,Water heater,322.269,0.322
2024-10-07 08:00:00,f1667c72,Water heater,343.798,0.344
2024-10-07 09:00:00,f1667c72,Water heater,1037.972,1.038
2024-10-07 10:00:00,f1667c72,Water heater,559.342,0.559
2024-10-07 11:00:00,f1667c72,Water heater,444.848,0.445
2024-10-07 12:00:00,f1667c72,Water heater,421.867,0.422
2024-10-07 13:00:00,f1667c72,Water heater,329.346,0.329
2024-10-07 14:00:00,f1667c72,Water heater,343.877,0.344
2024-10-07 15:00:00,f1667c72,Water heater,366.702,0.367
2024-10-07 16:00:00,f1667c72,Water heater,318.331,0.318
2024-10-07 17:00:00,f1667c72,Water heater,447.649,0.448
2024-10-07 18:00:00,f1667c72,Water heater,329.426,0.329
2024-10-07 21:00:00,f1667c72,Water heater,715.848,0.716
2024-10-07 22:00:00,f1667c72,Water heater,1552.342,1.552
2024-10-07 23:00:00,f1667c72,Water heater,417.166,0.417
2024-10-08 02:00:00,f1667c72,Water heater,374.752,0.375
2024-10-08 07:00:00,f1667c72,Water heater,343.829,0.344
2024-10-08 08:00:00,f1667c72,Water heater,374.625,0.375
2024-10-08 09:00:00,f1667c72,Water heater,982.305,0.982
2024-10-08 10:00:00,f1667c72,Water heater,375.114,0.375
2024-10-08 11:00:00,f1667c72,Water heater,432.306,0.432
2024-10-08 12:00:00,f1667c72,Water heater,624.840,0.625
2024-10-08 13:00:00,f1667c72,Water heater,815.823,0.816
2024-10-08 14:00:00,f1667c72,Water heater,517.449,0.517
2024-10-08 15:00:00,f1667c72,Water heater,941.764,0.942
2024-10-08 17:00:00,f1667c72,Water heater,412.639,0.413
2024-10-08 18:00:00,f1667c72,Water heater,532.173,0.532
2024-10-08 20:00:00,f1667c72,Water heater,1131.074,1.131
2024-10-08 21:00:00,f1667c72,Water heater,1036.230,1.036
2024-10-08 22:00:00,f1667c72,Water heater,694.516,0.695
2024-10-09 01:00:00,f1667c72,Water heater,303.998,0.304
2024-10-09 07:00:00,f1667c72,Water heater,311.666,0.312
2024-10-09 08:00:00,f1667c72,Water heater,1492.848,1.493
2024-10-09 10:00:00,f1667c72,Water heater,712.172,0.712
2024-10-09 11:00:00,f1667c72,Water heater,376.738,0.377
2024-10-09 12:00:00,f1667c72,Water heater,334.279,0.334
2024-10-09 13:00:00,f1667c72,Water heater,790.113,0.790
2024-10-09 14:00:00,f1667c72,Water heater,351.038,0.351
2024-10-09 15:00:00,f1667c72,Water heater,349.400,0.349
2024-10-09 17:00:00,f1667c72,Water heater,349.523,0.350
2024-10-09 18:00:00,f1667c72,Water heater,318.994,0.319
2024-10-09 20:00:00,f1667c72,Water heater,305.434,0.305
